id,video_dir,video_name,class,split
0000000,INCLUDE/Adjectives/4. sad/MVI_9568.MOV,MVI_9568.MOV,sad,train
0000001,INCLUDE/Adjectives/4. sad/MVI_9721.MOV,MVI_9721.MOV,sad,val
0000002,INCLUDE/Adjectives/4. sad/MVI_9720.MOV,MVI_9720.MOV,sad,train
0000003,INCLUDE/Adjectives/4. sad/MVI_9722.MOV,MVI_9722.MOV,sad,train
0000004,INCLUDE/Adjectives/4. sad/MVI_9719.MOV,MVI_9719.MOV,sad,train
0000005,INCLUDE/Adjectives/4. sad/MVI_9566.MOV,MVI_9566.MOV,sad,train
0000006,INCLUDE/Adjectives/4. sad/MVI_9565.MOV,MVI_9565.MOV,sad,train
0000007,INCLUDE/Adjectives/23. high/MVI_9781.MOV,MVI_9781.MOV,high,val
0000008,INCLUDE/Adjectives/23. high/MVI_9780.MOV,MVI_9780.MOV,high,train
0000009,INCLUDE/Adjectives/23. high/MVI_9655.MOV,MVI_9655.MOV,high,train
0000010,INCLUDE/Adjectives/23. high/MVI_9654.MOV,MVI_9654.MOV,high,train
0000011,INCLUDE/Adjectives/23. high/MVI_9656.MOV,MVI_9656.MOV,high,train
0000012,INCLUDE/Adjectives/23. high/MVI_9657.MOV,MVI_9657.MOV,high,train
0000013,INCLUDE/Adjectives/90. cool/MVI_5226.MOV,MVI_5226.MOV,cool,train
0000014,INCLUDE/Adjectives/90. cool/MVI_9420.MOV,MVI_9420.MOV,cool,train
0000015,INCLUDE/Adjectives/90. cool/MVI_5227.MOV,MVI_5227.MOV,cool,train
0000016,INCLUDE/Adjectives/90. cool/MVI_5147.MOV,MVI_5147.MOV,cool,train
0000017,INCLUDE/Adjectives/90. cool/MVI_5225.MOV,MVI_5225.MOV,cool,train
0000018,INCLUDE/Adjectives/90. cool/MVI_5146.MOV,MVI_5146.MOV,cool,train
0000019,INCLUDE/Adjectives/90. cool/MVI_9419.MOV,MVI_9419.MOV,cool,train
0000020,INCLUDE/Adjectives/90. cool/MVI_9418.MOV,MVI_9418.MOV,cool,train
0000021,INCLUDE/Adjectives/90. cool/MVI_9497.MOV,MVI_9497.MOV,cool,train
0000022,INCLUDE/Adjectives/90. cool/MVI_9337.MOV,MVI_9337.MOV,cool,train
0000023,INCLUDE/Adjectives/90. cool/MVI_9256.MOV,MVI_9256.MOV,cool,val
0000024,INCLUDE/Adjectives/90. cool/MVI_5304.MOV,MVI_5304.MOV,cool,train
0000025,INCLUDE/Adjectives/90. cool/MVI_9258.MOV,MVI_9258.MOV,cool,val
0000026,INCLUDE/Adjectives/90. cool/MVI_9338.MOV,MVI_9338.MOV,cool,train
0000027,INCLUDE/Adjectives/90. cool/MVI_9339.MOV,MVI_9339.MOV,cool,train
0000028,INCLUDE/Adjectives/90. cool/MVI_5305.MOV,MVI_5305.MOV,cool,train
0000029,INCLUDE/Adjectives/90. cool/MVI_5306.MOV,MVI_5306.MOV,cool,train
0000030,INCLUDE/Adjectives/84. small little/MVI_5208.MOV,MVI_5208.MOV,small little,train
0000031,INCLUDE/Adjectives/84. small little/MVI_9397.MOV,MVI_9397.MOV,small little,train
0000032,INCLUDE/Adjectives/84. small little/MVI_9237.MOV,MVI_9237.MOV,small little,train
0000033,INCLUDE/Adjectives/84. small little/MVI_5127.MOV,MVI_5127.MOV,small little,train
0000034,INCLUDE/Adjectives/84. small little/MVI_9319.MOV,MVI_9319.MOV,small little,val
0000035,INCLUDE/Adjectives/84. small little/MVI_5286.MOV,MVI_5286.MOV,small little,train
0000036,INCLUDE/Adjectives/84. small little/MVI_9480.MOV,MVI_9480.MOV,small little,val
0000037,INCLUDE/Adjectives/84. small little/MVI_5287.MOV,MVI_5287.MOV,small little,train
0000038,INCLUDE/Adjectives/84. small little/MVI_9479.MOV,MVI_9479.MOV,small little,train
0000039,INCLUDE/Adjectives/84. small little/MVI_9478.MOV,MVI_9478.MOV,small little,train
0000040,INCLUDE/Adjectives/84. small little/MVI_9320.MOV,MVI_9320.MOV,small little,train
0000041,INCLUDE/Adjectives/84. small little/extra/MVI_5209.MOV,MVI_5209.MOV,small little,train
0000042,INCLUDE/Adjectives/84. small little/MVI_5288.MOV,MVI_5288.MOV,small little,train
0000043,INCLUDE/Adjectives/84. small little/MVI_5207.MOV,MVI_5207.MOV,small little,train
0000044,INCLUDE/Adjectives/84. small little/MVI_9398.MOV,MVI_9398.MOV,small little,train
0000045,INCLUDE/Adjectives/84. small little/MVI_9400.MOV,MVI_9400.MOV,small little,train
0000046,INCLUDE/Adjectives/84. small little/MVI_5206.MOV,MVI_5206.MOV,small little,train
0000047,INCLUDE/Adjectives/84. small little/MVI_9238.MOV,MVI_9238.MOV,small little,train
0000048,INCLUDE/Adjectives/2. quiet/MVI_5181.MOV,MVI_5181.MOV,quiet,train
0000049,INCLUDE/Adjectives/2. quiet/MVI_9537.MOV,MVI_9537.MOV,quiet,train
0000050,INCLUDE/Adjectives/2. quiet/MVI_9292.MOV,MVI_9292.MOV,quiet,train
0000051,INCLUDE/Adjectives/2. quiet/MVI_9293.MOV,MVI_9293.MOV,quiet,train
0000052,INCLUDE/Adjectives/2. quiet/MVI_9294.MOV,MVI_9294.MOV,quiet,val
0000053,INCLUDE/Adjectives/2. quiet/MVI_9451.MOV,MVI_9451.MOV,quiet,train
0000054,INCLUDE/Adjectives/2. quiet/MVI_9452.MOV,MVI_9452.MOV,quiet,train
0000055,INCLUDE/Adjectives/2. quiet/MVI_9453.MOV,MVI_9453.MOV,quiet,train
0000056,INCLUDE/Adjectives/2. quiet/MVI_5338.MOV,MVI_5338.MOV,quiet,train
0000057,INCLUDE/Adjectives/2. quiet/MVI_5339.MOV,MVI_5339.MOV,quiet,train
0000058,INCLUDE/Adjectives/2. quiet/MVI_9538.MOV,MVI_9538.MOV,quiet,train
0000059,INCLUDE/Adjectives/2. quiet/MVI_5262.MOV,MVI_5262.MOV,quiet,train
0000060,INCLUDE/Adjectives/2. quiet/MVI_9539.MOV,MVI_9539.MOV,quiet,train
0000061,INCLUDE/Adjectives/2. quiet/MVI_5261.MOV,MVI_5261.MOV,quiet,val
0000062,INCLUDE/Adjectives/2. quiet/MVI_5260.MOV,MVI_5260.MOV,quiet,train
0000063,INCLUDE/Adjectives/2. quiet/MVI_9373.MOV,MVI_9373.MOV,quiet,train
0000064,INCLUDE/Adjectives/2. quiet/MVI_9372.MOV,MVI_9372.MOV,quiet,train
0000065,INCLUDE/Adjectives/11. rich/MVI_9596.MOV,MVI_9596.MOV,rich,train
0000066,INCLUDE/Adjectives/11. rich/MVI_9735.MOV,MVI_9735.MOV,rich,val
0000067,INCLUDE/Adjectives/11. rich/MVI_9736.MOV,MVI_9736.MOV,rich,train
0000068,INCLUDE/Adjectives/11. rich/MVI_9733.MOV,MVI_9733.MOV,rich,train
0000069,INCLUDE/Adjectives/11. rich/MVI_9598.MOV,MVI_9598.MOV,rich,train
0000070,INCLUDE/Adjectives/11. rich/MVI_9599.MOV,MVI_9599.MOV,rich,train
0000071,INCLUDE/Adjectives/97. dry/MVI_5169.MOV,MVI_5169.MOV,dry,train
0000072,INCLUDE/Adjectives/97. dry/MVI_5168.MOV,MVI_5168.MOV,dry,train
0000073,INCLUDE/Adjectives/97. dry/MVI_9279.MOV,MVI_9279.MOV,dry,train
0000074,INCLUDE/Adjectives/97. dry/MVI_9523.MOV,MVI_9523.MOV,dry,train
0000075,INCLUDE/Adjectives/97. dry/MVI_5250.MOV,MVI_5250.MOV,dry,train
0000076,INCLUDE/Adjectives/97. dry/MVI_9522.MOV,MVI_9522.MOV,dry,train
0000077,INCLUDE/Adjectives/97. dry/MVI_9278.MOV,MVI_9278.MOV,dry,train
0000078,INCLUDE/Adjectives/97. dry/MVI_5326.MOV,MVI_5326.MOV,dry,val
0000079,INCLUDE/Adjectives/97. dry/MVI_9440.MOV,MVI_9440.MOV,dry,train
0000080,INCLUDE/Adjectives/97. dry/MVI_9521.MOV,MVI_9521.MOV,dry,train
0000081,INCLUDE/Adjectives/97. dry/MVI_5327.MOV,MVI_5327.MOV,dry,train
0000082,INCLUDE/Adjectives/97. dry/MVI_5249.MOV,MVI_5249.MOV,dry,train
0000083,INCLUDE/Adjectives/97. dry/MVI_5328.MOV,MVI_5328.MOV,dry,train
0000084,INCLUDE/Adjectives/97. dry/MVI_9359.MOV,MVI_9359.MOV,dry,train
0000085,INCLUDE/Adjectives/97. dry/MVI_9361.MOV,MVI_9361.MOV,dry,train
0000086,INCLUDE/Adjectives/97. dry/MVI_9360.MOV,MVI_9360.MOV,dry,train
0000087,INCLUDE/Adjectives/97. dry/MVI_9439.MOV,MVI_9439.MOV,dry,val
0000088,INCLUDE/Adjectives/20. female/MVI_9769.MOV,MVI_9769.MOV,female,train
0000089,INCLUDE/Adjectives/20. female/MVI_9768.MOV,MVI_9768.MOV,female,train
0000090,INCLUDE/Adjectives/20. female/MVI_9642.MOV,MVI_9642.MOV,female,train
0000091,INCLUDE/Adjectives/20. female/MVI_9643.MOV,MVI_9643.MOV,female,train
0000092,INCLUDE/Adjectives/20. female/MVI_9645.MOV,MVI_9645.MOV,female,train
0000093,INCLUDE/Adjectives/20. female/MVI_9770.MOV,MVI_9770.MOV,female,val
0000094,INCLUDE/Adjectives/99. healthy/MVI_9286.MOV,MVI_9286.MOV,healthy,train
0000095,INCLUDE/Adjectives/99. healthy/MVI_9287.MOV,MVI_9287.MOV,healthy,train
0000096,INCLUDE/Adjectives/99. healthy/MVI_5332.MOV,MVI_5332.MOV,healthy,train
0000097,INCLUDE/Adjectives/99. healthy/MVI_5333.MOV,MVI_5333.MOV,healthy,train
0000098,INCLUDE/Adjectives/99. healthy/MVI_9531.MOV,MVI_9531.MOV,healthy,train
0000099,INCLUDE/Adjectives/99. healthy/MVI_9445.MOV,MVI_9445.MOV,healthy,train
0000100,INCLUDE/Adjectives/99. healthy/MVI_5256.MOV,MVI_5256.MOV,healthy,train
0000101,INCLUDE/Adjectives/99. healthy/MVI_9530.MOV,MVI_9530.MOV,healthy,train
0000102,INCLUDE/Adjectives/99. healthy/MVI_9532.MOV,MVI_9532.MOV,healthy,train
0000103,INCLUDE/Adjectives/99. healthy/MVI_9446.MOV,MVI_9446.MOV,healthy,train
0000104,INCLUDE/Adjectives/99. healthy/MVI_5254.MOV,MVI_5254.MOV,healthy,train
0000105,INCLUDE/Adjectives/99. healthy/MVI_9447.MOV,MVI_9447.MOV,healthy,train
0000106,INCLUDE/Adjectives/99. healthy/MVI_9367.MOV,MVI_9367.MOV,healthy,train
0000107,INCLUDE/Adjectives/99. healthy/MVI_9365.MOV,MVI_9365.MOV,healthy,val
0000108,INCLUDE/Adjectives/99. healthy/MVI_5173.MOV,MVI_5173.MOV,healthy,val
0000109,INCLUDE/Adjectives/99. healthy/MVI_5174.MOV,MVI_5174.MOV,healthy,train
0000110,INCLUDE/Adjectives/99. healthy/MVI_5175.MOV,MVI_5175.MOV,healthy,train
0000111,INCLUDE/Adjectives/81. wide/MVI_9390.MOV,MVI_9390.MOV,wide,train
0000112,INCLUDE/Adjectives/81. wide/MVI_9227.MOV,MVI_9227.MOV,wide,train
0000113,INCLUDE/Adjectives/81. wide/MVI_5278.MOV,MVI_5278.MOV,wide,train
0000114,INCLUDE/Adjectives/81. wide/MVI_9468.MOV,MVI_9468.MOV,wide,train
0000115,INCLUDE/Adjectives/81. wide/MVI_9469.MOV,MVI_9469.MOV,wide,train
0000116,INCLUDE/Adjectives/81. wide/MVI_5119.MOV,MVI_5119.MOV,wide,train
0000117,INCLUDE/Adjectives/81. wide/MVI_9310.MOV,MVI_9310.MOV,wide,train
0000118,INCLUDE/Adjectives/81. wide/MVI_9311.MOV,MVI_9311.MOV,wide,train
0000119,INCLUDE/Adjectives/81. wide/MVI_5277.MOV,MVI_5277.MOV,wide,train
0000120,INCLUDE/Adjectives/81. wide/MVI_5117.MOV,MVI_5117.MOV,wide,val
0000121,INCLUDE/Adjectives/81. wide/MVI_9467.MOV,MVI_9467.MOV,wide,train
0000122,INCLUDE/Adjectives/81. wide/MVI_5199.MOV,MVI_5199.MOV,wide,train
0000123,INCLUDE/Adjectives/81. wide/MVI_5198.MOV,MVI_5198.MOV,wide,val
0000124,INCLUDE/Adjectives/81. wide/MVI_9229.MOV,MVI_9229.MOV,wide,train
0000125,INCLUDE/Adjectives/81. wide/MVI_9228.MOV,MVI_9228.MOV,wide,train
0000126,INCLUDE/Adjectives/81. wide/MVI_9389.MOV,MVI_9389.MOV,wide,train
0000127,INCLUDE/Adjectives/81. wide/MVI_9388.MOV,MVI_9388.MOV,wide,train
0000128,INCLUDE/Adjectives/85. slow/MVI_9481.MOV,MVI_9481.MOV,slow,train
0000129,INCLUDE/Adjectives/85. slow/MVI_9324.MOV,MVI_9324.MOV,slow,val
0000130,INCLUDE/Adjectives/85. slow/MVI_5130.MOV,MVI_5130.MOV,slow,train
0000131,INCLUDE/Adjectives/85. slow/MVI_5291.MOV,MVI_5291.MOV,slow,train
0000132,INCLUDE/Adjectives/85. slow/MVI_9483.MOV,MVI_9483.MOV,slow,train
0000133,INCLUDE/Adjectives/85. slow/MVI_9482.MOV,MVI_9482.MOV,slow,train
0000134,INCLUDE/Adjectives/85. slow/MVI_5131.MOV,MVI_5131.MOV,slow,train
0000135,INCLUDE/Adjectives/85. slow/MVI_9243.MOV,MVI_9243.MOV,slow,train
0000136,INCLUDE/Adjectives/85. slow/MVI_9323.MOV,MVI_9323.MOV,slow,train
0000137,INCLUDE/Adjectives/85. slow/MVI_9322.MOV,MVI_9322.MOV,slow,train
0000138,INCLUDE/Adjectives/85. slow/MVI_9242.MOV,MVI_9242.MOV,slow,train
0000139,INCLUDE/Adjectives/85. slow/MVI_5212.MOV,MVI_5212.MOV,slow,val
0000140,INCLUDE/Adjectives/85. slow/MVI_5210.MOV,MVI_5210.MOV,slow,train
0000141,INCLUDE/Adjectives/85. slow/MVI_9402.MOV,MVI_9402.MOV,slow,train
0000142,INCLUDE/Adjectives/85. slow/MVI_9403.MOV,MVI_9403.MOV,slow,train
0000143,INCLUDE/Adjectives/85. slow/MVI_5211.MOV,MVI_5211.MOV,slow,train
0000144,INCLUDE/Adjectives/85. slow/MVI_9404.MOV,MVI_9404.MOV,slow,train
0000145,INCLUDE/Adjectives/26. hard/MVI_9795.MOV,MVI_9795.MOV,hard,train
